codigo,jurisdiccion,total_hogares
02,Ciudad Autónoma de Buenos Aires,1406735
06,Buenos Aires,6051550
10,Catamarca,135153
14,Córdoba,1394400
18,Corrientes,379129
22,Chaco,374487
26,Chubut,215257
30,Entre Ríos,500660
34,Formosa,198206
38,Jujuy,245706
42,La Pampa,141573
46,La Rioja,126256
50,Mendoza,652184
54,Misiones,425667
58,Neuquén,257381
62,Río Negro,278935
66,Salta,418430
70,San Juan,247094
74,San Luis,185549
78,Santa Cruz,119262
82,Santa Fe,1289967
86,Santiago del Estero,316992
90,Tucumán,505542
94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",66187
