codigo,jurisdiccion,total_poblacion,pob_viv_particulares,pob_viv_colectivas,pob_situacion_calle
02,Ciudad Autónoma de Buenos Aires,3121707,3095454,23850,2403
06,Buenos Aires,17523996,17408906,113664,1426
10,Catamarca,429562,427625,1909,28
14,Córdoba,3840905,3812064,28705,136
18,Corrientes,1212696,1209671,2958,67
22,Chaco,1129606,1124603,4898,105
26,Chubut,592621,589454,3123,44
30,Entre Ríos,1425578,1415097,10315,166
34,Formosa,607419,605507,1912,0
38,Jujuy,811611,809364,2165,82
42,La Pampa,361859,359193,2656,10
46,La Rioja,383865,382453,1398,14
50,Mendoza,2043540,2030773,12636,131
54,Misiones,1278873,1273347,5452,74
58,Neuquén,710814,708578,2223,13
62,Río Negro,750768,747697,2997,74
66,Salta,1441351,1434225,6872,254
70,San Juan,822853,819445,3357,51
74,San Luis,542069,540548,1517,4
78,Santa Cruz,337226,335677,1462,87
82,Santa Fe,3544908,3519059,25450,399
86,Santiago del Estero,1060906,1057752,3099,55
90,Tucumán,1731820,1727337,4401,82
94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",185732,184958,774,0
