codigo,jurisdiccion,total_viviendas,viv_part_total,viv_part_habitadas,viv_part_deshabitadas,viv_colectivas
02,Ciudad Autónoma de Buenos Aires,1615300,1614354,1391258,223096,946
06,Buenos Aires,6749094,6745665,5970702,774963,3429
10,Catamarca,156412,156168,131978,24190,244
14,Córdoba,1616117,1614694,1378237,236457,1423
18,Corrientes,408682,408470,370958,37512,212
22,Chaco,411396,411116,368728,42388,280
26,Chubut,241242,240945,213317,27628,297
30,Entre Ríos,558566,557956,494473,63483,610
34,Formosa,218678,218558,194689,23869,120
38,Jujuy,266427,266244,238141,28103,183
42,La Pampa,164515,164268,140879,23389,247
46,La Rioja,148178,148070,124149,23921,108
50,Mendoza,702009,701357,639467,61890,652
54,Misiones,464472,464102,420101,44001,370
58,Neuquén,283923,283756,254545,29211,167
62,Río Negro,308005,307730,276371,31359,275
66,Salta,458289,457992,404504,53488,297
70,San Juan,263539,263402,241436,21966,137
74,San Luis,204447,204364,182886,21478,83
78,Santa Cruz,135010,134840,118047,16793,170
82,Santa Fe,1452021,1450807,1273460,177347,1214
86,Santiago del Estero,345637,345428,311361,34067,209
90,Tucumán,553157,552986,493794,59192,171
94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",69833,69757,65535,4222,76
